username,event_date,release_id,country,organization_id,Y,D_tau_m3,D_tau_m2,D_tau_m1,D_tau_0,D_tau_1,D_tau_2,D_tau_3,D_tau_4
leecher1337,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
leecher1337,2023-04-06,98475122,austria,,1,0,0,0,0,0,0,0,0
phax,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
phax,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
phax,2023-03-30,97557713,austria,,1,0,0,0,0,0,0,0,0
phax,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
phax,2023-04-03,97830643,austria,,1,0,0,0,0,0,0,0,0
phax,2023-04-04,98040045,austria,73102527,1,0,0,0,0,0,0,0,0
phax,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
phax,2023-04-06,98474677,austria,73102527,1,0,0,0,0,0,0,0,0
miaulalala,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
miaulalala,2023-04-06,98470934,austria,74006188,1,0,0,0,0,0,0,0,0
Bob-AT,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-04-05,,austria,,0,0,0,0,0,0,0,0,0
Bob-AT,2023-04-06,98467385,austria,,1,0,0,0,0,0,0,0,0
cenk1cenk2,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
cenk1cenk2,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
cenk1cenk2,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
cenk1cenk2,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
cenk1cenk2,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
cenk1cenk2,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
