username,event_date,country,user_day_total_length,user_day_count,treatment,post
0K00,2023-03-24,france,124,18,0,0
0K00,2023-03-30,france,0,4,0,0
0cool-f,2023-03-29,italy,760,1,1,0
0gust1,2023-03-25,france,474,2,0,0
0ry0n,2023-03-23,italy,0,1,1,0
0x0f0f0f,2023-04-06,italy,570,1,1,1
0x3e4,2023-04-03,austria,813,1,0,1
0x526f6d656f,2023-03-29,austria,335,1,0,0
0xEAB,2023-03-20,austria,1151,2,0,0
0xEAB,2023-03-25,austria,872,1,0,0
0xGeegZ,2023-03-23,france,763,1,0,0
0xWryth,2023-03-22,france,1098,3,0,0
0xless,2023-04-03,italy,220,1,1,1
123FLO321,2023-03-29,austria,207,1,0,0
123FLO321,2023-04-02,austria,1230,1,0,1
12rambau,2023-03-18,italy,296,2,1,0
12rambau,2023-03-19,italy,507,3,1,0
12rambau,2023-03-20,italy,75,3,1,0
12rambau,2023-03-21,italy,2903,6,1,0
12rambau,2023-03-24,italy,844,2,1,0
12rambau,2023-03-27,italy,441,2,1,0
12rambau,2023-03-28,italy,159,4,1,0
12rambau,2023-03-29,italy,606,3,1,0
12rambau,2023-03-30,italy,274,2,1,0
12rambau,2023-03-31,italy,117,1,1,0
12rambau,2023-04-03,italy,1695,5,1,1
12rambau,2023-04-04,italy,865,3,1,1
12rambau,2023-04-05,italy,1092,2,1,1
12rambau,2023-04-07,italy,617,4,1,1
1C0D,2023-03-28,france,37,1,0,0
1fini,2023-03-28,france,0,1,0,0
27leaves,2023-03-25,austria,1066,1,0,0
32Geck,2023-04-04,france,63,1,0,1
37TS,2023-04-01,italy,545,1,1,1
37TS,2023-04-08,italy,818,1,1,1
3PSY0N,2023-04-07,france,110,4,0,1
3l0w,2023-04-07,france,1115,1,0,1
3mg4,2023-03-26,austria,750,1,0,0
3outeille,2023-04-05,france,1520,1,0,1
3outeille,2023-04-08,france,689,1,0,1
3phase,2023-03-18,austria,1477,1,0,0
3rgo,2023-03-31,france,613,1,0,0
3ut,2023-03-22,italy,443,1,1,0
3v1n0,2023-04-04,italy,971,1,1,1
404answernotfound,2023-04-03,italy,0,1,1,1
6DiegoDiego9,2023-03-28,italy,358,1,1,0
70V07,2023-03-24,italy,392,1,1,0
74C17N3P7UN3,2023-03-24,italy,234,1,1,0
8Klaro8,2023-04-04,austria,107,14,0,1
93lucasp,2023-04-05,italy,159,1,1,1
A7F,2023-03-23,italy,963,1,1,0
AEychenne,2023-04-04,france,1022,1,0,1
AFCMS,2023-03-19,france,35,1,0,0
AFCMS,2023-03-26,france,378,1,0,0
AFCMS,2023-03-29,france,614,1,0,0
AFCMS,2023-03-31,france,49,1,0,0
AGiorgetti,2023-03-22,italy,0,1,1,0
AI-ien,2023-03-21,france,419,1,0,0
AIexell,2023-03-27,france,895,1,0,0
AKEOPLUS-boris-bocquet,2023-03-27,france,550,1,0,0
ARKANYOTA,2023-03-26,france,0,1,0,0
AZIRARM,2023-03-30,france,0,8,0,0
AbhiPrasad,2023-03-21,austria,263,1,0,0
AbhiPrasad,2023-03-23,austria,0,1,0,0
AbhiPrasad,2023-03-27,austria,908,2,0,0
AbhiPrasad,2023-03-31,austria,1455,2,0,0
Abonia1,2023-03-20,france,585,1,0,0
Ackimixs,2023-03-30,france,149,1,0,0
Aculeo,2023-04-01,austria,425,1,0,1
Ad5001,2023-03-30,france,817,1,0,0
Adiantum-f,2023-04-03,france,456,1,0,1
Adphi,2023-03-23,france,417,1,0,0
AdrianaLleshi9427,2023-03-27,italy,105,1,1,0
AdrienLeGuillou,2023-03-29,france,422,1,0,0
AdrienLeGuillou,2023-04-04,france,85,2,0,1
AdrienLeGuillou,2023-04-06,france,498,5,0,1
Adrii77,2023-03-22,france,0,1,0,0
Aeden-B,2023-03-27,france,80,1,0,0
Aerendir,2023-03-25,italy,631,1,1,0
Aerendir,2023-03-30,italy,356,1,1,0
Aeris1One,2023-03-18,france,546,5,0,0
Aeris1One,2023-03-29,france,0,1,0,0
Aethyus,2023-03-23,france,161,1,0,0
Aethyus,2023-04-08,france,283,6,0,1
Aghneel,2023-03-23,france,386,1,0,0
Aghneel,2023-04-05,france,60,1,0,1
AgimaFR,2023-04-02,france,868,1,0,1
AgnesBaud,2023-04-03,france,340,1,0,1
AgostinoA,2023-04-04,italy,390,2,1,1
Ahmosys,2023-03-21,france,585,1,0,0
AirOne01,2023-03-24,france,60,1,0,0
AirOne01,2023-03-27,france,273,7,0,0
AirOne01,2023-04-03,france,41,1,0,1
AiroPi,2023-03-31,france,696,1,0,0
Akadil,2023-03-27,france,15,1,0,0
Akadil,2023-04-04,france,0,3,0,1
Akadil,2023-04-05,france,0,1,0,1
Akadil,2023-04-06,france,0,2,0,1
Akadil,2023-04-07,france,0,1,0,1
AkimParis,2023-04-05,france,712,1,0,1
AkoZ,2023-04-02,france,282,1,0,1
Akulla-A,2023-03-18,france,836,1,0,0
Akulla-A,2023-04-01,france,660,1,0,1
Al-Pragliola,2023-03-30,italy,0,1,1,0
Al-Pragliola,2023-04-03,italy,0,1,1,1
AlbanMinassian,2023-03-24,france,60,1,0,0
AlbertShown,2023-03-24,italy,668,3,1,0
AlbertShown,2023-04-06,italy,1051,1,1,1
Alcodowi,2023-04-06,france,267,1,0,1
AldessScratch,2023-04-01,france,11,1,0,1
AldessScratch,2023-04-02,france,11,1,0,1
Ale1x,2023-04-01,italy,213,1,1,1
AleCandido,2023-03-21,italy,47,1,1,0
AleCandido,2023-03-22,italy,145,1,1,0
AleCandido,2023-03-24,italy,1387,2,1,0
AleCandido,2023-03-31,italy,192,1,1,0
AleCandido,2023-04-04,italy,1350,1,1,1
Aledangelo,2023-03-18,italy,120,1,1,0
Aleoneboo,2023-03-31,italy,649,1,1,0
AlessandroADG,2023-04-08,italy,1044,4,1,1
AlessandroAnnini,2023-03-19,italy,897,1,1,0
AlessandroAnnini,2023-04-04,italy,1460,1,1,1
AlessandroDelSole,2023-03-29,italy,1388,1,1,0
AlessandroGasparri,2023-04-04,italy,0,2,1,1
AlessandroMinoccheri,2023-03-31,italy,1159,1,1,0
AlessioZanga,2023-03-20,italy,0,1,1,0
AlessioZanga,2023-03-27,italy,834,2,1,0
AlessioZanga,2023-03-29,italy,284,1,1,0
AlessioZanga,2023-04-05,italy,71,1,1,1
Alex141642,2023-03-30,france,1433,1,0,0
AlexGacon,2023-03-20,france,773,5,0,0
AlexKTP,2023-04-08,france,0,14,0,1
AlexSteiner30,2023-03-28,austria,0,1,0,0
AlexaH88,2023-04-05,france,89,8,0,1
AlexaH88,2023-04-06,france,0,28,0,1
AlexaH88,2023-04-08,france,0,1,0,1
Alexandre-Vernet,2023-03-21,france,63,1,0,0
Alexandre-Vernet,2023-03-27,france,0,1,0,0
Alexandre-Vernet,2023-03-31,france,0,2,0,0
Alexandre-Vernet,2023-04-01,france,0,1,0,1
Alexandre-Vernet,2023-04-03,france,0,1,0,1
Alexandre-Vernet,2023-04-04,france,0,1,0,1
AlexandreBrg,2023-03-19,france,1269,2,0,0
AlexandreBrg,2023-03-20,france,955,2,0,0
AlexandreBrg,2023-03-23,france,592,1,0,0
AlexandreBrg,2023-03-24,france,276,1,0,0
AlexandreBrg,2023-03-26,france,430,1,0,0
AlexandreLarribau,2023-04-04,france,1197,2,0,1
AlexandrePTJ,2023-03-24,france,61,1,0,0
AlexandrePTJ,2023-04-05,france,155,1,0,1
Alfa16bravo,2023-03-22,france,462,1,0,0
Alfa16bravo,2023-03-30,france,84,1,0,0
Alfa16bravo,2023-04-04,france,309,1,0,1
Alketta,2023-04-04,france,233,1,0,1
AloneDay-91,2023-03-23,france,200,1,0,0
AloneDay-91,2023-03-25,france,540,3,0,0
AloneDay-91,2023-03-28,france,190,1,0,0
AloneDay-91,2023-03-29,france,190,1,0,0
AloneDay-91,2023-03-30,france,190,1,0,0
AloneDay-91,2023-04-01,france,380,2,0,1
AloneDay-91,2023-04-04,france,190,1,0,1
AloneDay-91,2023-04-05,france,190,1,0,1
AloneDay-91,2023-04-07,france,190,1,0,1
AloneDay-91,2023-04-08,france,190,1,0,1
AltarBeastiful,2023-04-03,france,393,1,0,1
Altiire,2023-04-06,france,1525,2,0,1
Alurith,2023-03-23,italy,484,1,1,0
AlxisHenry,2023-03-19,france,0,3,0,0
AlxisHenry,2023-03-31,france,0,1,0,0
Alyoninthecity,2023-04-04,italy,110,3,1,1
Alyoninthecity,2023-04-05,italy,786,12,1,1
Amatewasu,2023-03-21,france,189,1,0,0
AmauryVdt,2023-04-01,france,1567,1,0,1
AmineDjeghri,2023-03-30,france,973,1,0,0
AmineDjeghri,2023-03-31,france,123,1,0,0
Amxx,2023-03-21,france,1140,1,0,0
Amxx,2023-03-25,france,440,1,0,0
Amxx,2023-03-29,france,636,1,0,0
An0n1mity,2023-04-04,france,0,1,0,1
AnErrupTion,2023-03-25,france,1278,1,0,0
AnErrupTion,2023-03-30,france,197,1,0,0
AnOtterGithubUser,2023-03-28,france,1377,1,0,0
AnaelBonnafous,2023-04-04,france,146,2,0,1
AnaelMobilia,2023-04-04,france,28,1,0,1
AndreaF17,2023-03-24,italy,1190,1,1,0
Andreagit97,2023-04-05,italy,208,1,1,1
AndreasLrx,2023-04-04,france,1714,5,0,1
AndreasSchantl,2023-03-28,austria,2091,2,0,0
AndresiniGiovanni,2023-03-29,italy,0,1,1,0
AndrewAlscher,2023-03-30,austria,468,1,0,0
AndreyMlashkin,2023-03-27,austria,187,1,0,0
Andromelus,2023-03-31,france,1415,1,0,0
Androz2091,2023-03-20,france,192,1,0,0
Androz2091,2023-03-25,france,632,1,0,0
AndyButland,2023-03-29,italy,228,1,1,0
AndyButland,2023-04-06,italy,131,1,1,1
Angedestenebres,2023-04-02,france,679,1,0,1
AngeloAdd,2023-04-02,italy,0,1,1,1
Angra974,2023-04-08,france,1203,1,0,1
AnnalisaS,2023-03-22,italy,705,1,1,0
Anne-Camille,2023-03-20,france,81,9,0,0
Anne-Camille,2023-03-21,france,0,1,0,0
Anne-Camille,2023-03-22,france,0,1,0,0
Anne-Camille,2023-03-23,france,0,1,0,0
Anne-Camille,2023-03-24,france,0,1,0,0
Anne-Camille,2023-03-29,france,0,1,0,0
Anne-Camille,2023-04-03,france,0,2,0,1
Anne-Camille,2023-04-05,france,0,3,0,1
Anne-Camille,2023-04-07,france,0,1,0,1
Ant1r,2023-04-07,france,668,1,0,1
Antiz96,2023-03-26,france,450,1,0,0
AntoLC,2023-03-28,france,496,1,0,0
Antoine-Zimmermann,2023-03-23,france,804,1,0,0
Antoine-Zimmermann,2023-03-24,france,444,2,0,0
Antoine-Zimmermann,2023-03-26,france,537,2,0,0
Antoine-Zimmermann,2023-03-28,france,819,1,0,0
AntoineAugusti,2023-03-22,france,341,1,0,0
AntoineAugusti,2023-03-23,france,449,1,0,0
AntoineAugusti,2023-03-24,france,240,1,0,0
AntoineAugusti,2023-03-27,france,852,2,0,0
AntoineAugusti,2023-03-30,france,811,1,0,0
AntoineAugusti,2023-04-05,france,227,1,0,1
AntoineDeloy,2023-03-29,france,36,3,0,0
AntoineKM,2023-03-29,france,1211,2,0,0
AntoineKM,2023-03-30,france,800,2,0,0
AntoineKM,2023-04-05,france,84,1,0,1
AntoinePrv,2023-04-04,france,1073,1,0,1
AntoineThebaud,2023-03-20,france,229,1,0,0
AntonOellerer,2023-03-30,austria,1464,1,0,0
AntonOellerer,2023-04-04,austria,1340,1,0,1
AntonioNero,2023-04-02,italy,132,1,1,1
Antoviscomi,2023-04-05,italy,1109,1,1,1
AnttGiam,2023-03-22,italy,116,1,1,0
ArKeid0s,2023-04-07,france,219,1,0,1
Aralun,2023-03-23,france,603,1,0,0
Araz0,2023-03-18,austria,237,1,0,0
Araz0,2023-03-20,austria,0,3,0,0
Araz0,2023-03-23,austria,0,1,0,0
Araz0,2023-04-03,austria,0,1,0,1
ArcAnya,2023-03-28,austria,597,2,0,0
ArcAnya,2023-03-31,austria,269,1,0,0
ArcAnya,2023-04-06,austria,635,2,0,1
ArcAnya,2023-04-07,austria,1182,3,0,1
ArchOrn,2023-04-05,france,120,1,0,1
Arcthuruss,2023-04-05,france,248,1,0,1
ArianePinche,2023-04-06,france,40,1,0,1
Arkanosis,2023-03-31,france,579,1,0,0
Arksyd96,2023-03-31,france,480,1,0,0
Armaldio,2023-03-18,france,77,1,0,0
Arnall,2023-03-29,france,1436,1,0,0
Arnaud-Chane,2023-03-31,france,132,4,0,0
Arnaud-Chane,2023-04-06,france,2293,14,0,1
ArnaudBarre,2023-03-19,france,1402,3,0,0
ArnaudFlaesch,2023-03-21,france,0,1,0,0
ArnaudFlaesch,2023-04-08,france,0,1,0,1
Arthi-chaud,2023-03-18,france,588,1,0,0
Arthi-chaud,2023-03-19,france,467,1,0,0
Arthi-chaud,2023-03-25,france,135,1,0,0
Arthi-chaud,2023-03-29,france,385,1,0,0
Arthur-Milchior,2023-03-21,france,629,1,0,0
Arthur-Milchior,2023-03-26,france,1088,1,0,0
ArthurBeaulieu,2023-04-03,france,0,1,0,1
ArthurBorsboom,2023-04-03,france,2131,2,0,1
