repo,country_commits,total_commits,country_ratio,repo_url
rust-lang/crates.io-index,287786,287802,0.9999444062237232,https://github.com/rust-lang/crates.io-index
NellixCo/nephio-edge1,19311,19311,1.0,https://github.com/NellixCo/nephio-edge1
NellixCo/nephio-edge2,17719,17719,1.0,https://github.com/NellixCo/nephio-edge2
NellixCo/nephio-region1,17634,17634,1.0,https://github.com/NellixCo/nephio-region1
Mirko-r/Mirko-r,16058,16399,0.9792060491493384,https://github.com/Mirko-r/Mirko-r
mia-platform/documentation,9198,10517,0.8745840068460587,https://github.com/mia-platform/documentation
DonRP/WitchHunter,9613,9613,1.0,https://github.com/DonRP/WitchHunter
maffo102/cgdata,7546,7546,1.0,https://github.com/maffo102/cgdata
Dopolavoro-Matematico/dopolavoro-matematico.github.io,7475,7475,1.0,https://github.com/Dopolavoro-Matematico/dopolavoro-matematico.github.io
pagopa/io-app,5374,7118,0.7549873559988761,https://github.com/pagopa/io-app
enrichman/enrichman.github.io,6734,6734,1.0,https://github.com/enrichman/enrichman.github.io
aangstrom/TB_Dev,5664,5664,1.0,https://github.com/aangstrom/TB_Dev
merkleID/torlist,5467,5467,1.0,https://github.com/merkleID/torlist
enbifa/Dati_Climatici,4873,4873,1.0,https://github.com/enbifa/Dati_Climatici
vito80ba/site-pagopa.gov.it,4271,4271,1.0,https://github.com/vito80ba/site-pagopa.gov.it
gem/oq-engine,3297,4258,0.7743071864725223,https://github.com/gem/oq-engine
fnzv/status,4110,4110,1.0,https://github.com/fnzv/status
Valerio-Cola/EthanStorage,3076,3076,1.0,https://github.com/Valerio-Cola/EthanStorage
openforis/sepal-doc,2541,2688,0.9453125,https://github.com/openforis/sepal-doc
DonRP/BigBrotherAS,2323,2323,1.0,https://github.com/DonRP/BigBrotherAS
crondaemon/wireshark,2305,2305,1.0,https://github.com/crondaemon/wireshark
italia/designers.italia.it,1830,2270,0.8061674008810573,https://github.com/italia/designers.italia.it
lies-exposed/lies.exposed,1611,1790,0.9,https://github.com/lies-exposed/lies.exposed
ggardin/uptime-monitor,1724,1724,1.0,https://github.com/ggardin/uptime-monitor
matecat/MateCat,1339,1590,0.8421383647798742,https://github.com/matecat/MateCat
sebastianomelita/ArduinoBareMetal,1589,1589,1.0,https://github.com/sebastianomelita/ArduinoBareMetal
pigreco/speedtest-parabola,1509,1509,1.0,https://github.com/pigreco/speedtest-parabola
DonRP/AFamilyVenture,1474,1474,1.0,https://github.com/DonRP/AFamilyVenture
universalbit-dev/gekko-m4,1442,1460,0.9876712328767124,https://github.com/universalbit-dev/gekko-m4
cagnulein/qdomyos-zwift,1430,1430,1.0,https://github.com/cagnulein/qdomyos-zwift
andrea-acampora/andrea-acampora,1387,1387,1.0,https://github.com/andrea-acampora/andrea-acampora
mbladel/hibernate-orm,1376,1382,0.9956584659913168,https://github.com/mbladel/hibernate-orm
jfet97/my-views-counter,1372,1372,1.0,https://github.com/jfet97/my-views-counter
somekindofwallflower/my-views-counter,1368,1368,1.0,https://github.com/somekindofwallflower/my-views-counter
cannavit/status-pages-monitoring,1366,1366,1.0,https://github.com/cannavit/status-pages-monitoring
mondrake/d8-unit,1365,1365,1.0,https://github.com/mondrake/d8-unit
bitpredator/empiretown,1304,1324,0.9848942598187312,https://github.com/bitpredator/empiretown
INGV/shakemap-input-eu,1305,1317,0.9908883826879272,https://github.com/INGV/shakemap-input-eu
CASPERg267/Uptime-page,1252,1252,1.0,https://github.com/CASPERg267/Uptime-page
pieroproietti/penguins-eggs,1208,1208,1.0,https://github.com/pieroproietti/penguins-eggs
m-i-n-a-r/birday,1201,1201,1.0,https://github.com/m-i-n-a-r/birday
cannavit/upptime,1183,1183,1.0,https://github.com/cannavit/upptime
gdassori/covid19_data,1168,1168,1.0,https://github.com/gdassori/covid19_data
TacoCompany/upptime,1159,1159,1.0,https://github.com/TacoCompany/upptime
Relism/ptero-status,1150,1150,1.0,https://github.com/Relism/ptero-status
mdallastella/fc-uptime,1146,1146,1.0,https://github.com/mdallastella/fc-uptime
LucaRosaldi/p1-uptime-robot,1142,1142,1.0,https://github.com/LucaRosaldi/p1-uptime-robot
MatteoGheza/status.matteogheza.it,1134,1134,1.0,https://github.com/MatteoGheza/status.matteogheza.it
Ansuel/openwrt,1106,1106,1.0,https://github.com/Ansuel/openwrt
pagopa/io-sign,827,1096,0.7545620437956204,https://github.com/pagopa/io-sign
matteobruni/tsparticles,867,1096,0.791058394160584,https://github.com/matteobruni/tsparticles
derogab/status,1056,1056,1.0,https://github.com/derogab/status
riccardoperra/codeimage,978,1037,0.9431051108968176,https://github.com/riccardoperra/codeimage
cheina97/liqo,966,1032,0.936046511627907,https://github.com/cheina97/liqo
ziglang/www.ziglang.org,811,1014,0.7998027613412229,https://github.com/ziglang/www.ziglang.org
gmazzini/log,1011,1011,1.0,https://github.com/gmazzini/log
danog/MadelineProto,951,1002,0.9491017964071856,https://github.com/danog/MadelineProto
jackdbd/uptime-monitors,993,993,1.0,https://github.com/jackdbd/uptime-monitors
gperon/mmyy_slackbuilds,984,984,1.0,https://github.com/gperon/mmyy_slackbuilds
Sergio0694/ComputeSharp,972,972,1.0,https://github.com/Sergio0694/ComputeSharp
sighupio/furyctl,872,944,0.923728813559322,https://github.com/sighupio/furyctl
OranBar/sc2-sensei,891,944,0.9438559322033898,https://github.com/OranBar/sc2-sensei
ivan-hc/AM-Application-Manager,944,944,1.0,https://github.com/ivan-hc/AM-Application-Manager
Loweredgames/Skyblock-Classic-Edition,928,928,1.0,https://github.com/Loweredgames/Skyblock-Classic-Edition
lspita/UniNotes,928,928,1.0,https://github.com/lspita/UniNotes
francosalvucci14/Appunti-II-anno,925,925,1.0,https://github.com/francosalvucci14/Appunti-II-anno
spotlessmind1975/ugbasic,922,922,1.0,https://github.com/spotlessmind1975/ugbasic
seeu-inspace/easyg,901,901,1.0,https://github.com/seeu-inspace/easyg
ooni/probe-cli,882,897,0.9832775919732442,https://github.com/ooni/probe-cli
filariow/primaza,885,890,0.99438202247191,https://github.com/filariow/primaza
buildwiththeta/buildwiththeta,780,888,0.8783783783783784,https://github.com/buildwiththeta/buildwiththeta
gremo/symfony-sail,837,884,0.9468325791855204,https://github.com/gremo/symfony-sail
albnavarro/mobbu,871,871,1.0,https://github.com/albnavarro/mobbu
enricotomasi/GeeksforGeeks_problems,871,871,1.0,https://github.com/enricotomasi/GeeksforGeeks_problems
alvr-org/ALVR,701,867,0.8085351787773933,https://github.com/alvr-org/ALVR
locriandev/aos-cd-jobs,849,850,0.9988235294117648,https://github.com/locriandev/aos-cd-jobs
TseTmc-com/ebgosite,841,841,1.0,https://github.com/TseTmc-com/ebgosite
